Date (UTC),Block Storage (USD),Compute (USD),Database (USD),Load Balancer (USD),MySQL (USD),Object Storage,Telemetry (USD),Virtual Cloud Network (USD),Total (USD)
Apr 1 2024,0,0,0,0,1.3608014053333333,0,0,0,1.3608014053333333
Apr 2 2024,0,0,0,0,1.699895054,0,0,0,1.699895054
Apr 3 2024,0,0,0,0,1.699895054,0,0,0,1.699895054
Apr 4 2024,0,0,0,0,1.699895054,0,0,0,1.699895054
Apr 5 2024,0,0,0,0,0.20968403153333334,0,0,0,0.20968403153333334
Apr 6 2024,0,0,0,0,0.060215053760000005,0,0,0,0.060215053760000005
Apr 7 2024,0,0,0,0,0.060215053760000005,0,0,0,0.060215053760000005
Apr 8 2024,0,0,0,0,0.055197126613333335,0,0,0,0.055197126613333335
Apr 9 2024,0,0,0,0,6.785582786666667,0,0,0,6.785582786666667
